zombieid	zombie	age	sex	rurality	household	water	food	medication	tools	firstaid	sanitation	clothing	documents	water.person
1	Human	18	Female	Rural	1	0	Food	Medication	No tools	First aid supplies	Sanitation	Clothing	NA	0.000000
2	Human	18	Male	Rural	3	24	Food	Medication	tools	First aid supplies	Sanitation	Clothing	NA	8.000000
3	Human	18	Male	Rural	4	16	Food	Medication	No tools	First aid supplies	Sanitation	Clothing	NA	4.000000
4	Human	19	Male	Rural	1	0	Food	Medication	tools	No first aid supplies	Sanitation	Clothing	NA	0.000000
5	Human	19	Male	Urban	1	0	Food	Medication	No tools	First aid supplies	Sanitation	NA	NA	0.000000
6	Human	19	Female	Urban	1	0	Food	Medication	tools	First aid supplies	Sanitation	Clothing	NA	0.000000
7	Human	20	Female	Suburban	2	0	No food	Medication	No tools	First aid supplies	Sanitation	Clothing	NA	0.000000
8	Human	20	Female	Rural	2	0	Food	No medication	No tools	No first aid supplies	Sanitation	Clothing	NA	0.000000
9	Human	21	Female	Urban	1	8	No food	No medication	tools	First aid supplies	Sanitation	Clothing	Documents	8.000000
10	Human	21	Female	Rural	2	8	No food	No medication	tools	First aid supplies	Sanitation	Clothing	Documents	4.000000
11	Human	21	Male	Rural	1	8	Food	No medication	No tools	First aid supplies	No sanitation	NA	NA	8.000000
12	Human	21	Male	Rural	2	16	No food	Medication	No tools	No first aid supplies	Sanitation	Clothing	Documents	8.000000
13	Human	22	Male	Suburban	2	16	Food	Medication	No tools	First aid supplies	Sanitation	Clothing	Documents	8.000000
14	Human	23	Male	Rural	3	8	Food	Medication	tools	First aid supplies	No sanitation	Clothing	NA	2.666667
15	Human	23	Male	Rural	2	8	Food	Medication	tools	First aid supplies	Sanitation	Clothing	Documents	4.000000
16	Human	23	Male	Suburban	1	8	Food	Medication	tools	No first aid supplies	No sanitation	NA	NA	8.000000
17	Human	24	Male	Rural	4	40	Food	Medication	No tools	First aid supplies	Sanitation	Clothing	NA	10.000000
18	Human	24	Female	Rural	3	18	Food	Medication	tools	First aid supplies	Sanitation	Clothing	NA	6.000000
19	Human	24	Female	Suburban	2	11	No food	Medication	No tools	No first aid supplies	No sanitation	NA	NA	5.500000
20	Human	24	Male	Urban	1	0	Food	No medication	tools	First aid supplies	Sanitation	Clothing	NA	0.000000
21	Human	24	Male	Rural	2	8	No food	No medication	No tools	First aid supplies	No sanitation	NA	NA	4.000000
22	Human	25	Male	Suburban	2	8	No food	No medication	No tools	First aid supplies	No sanitation	NA	NA	4.000000
23	Human	25	Male	Rural	1	0	No food	No medication	tools	No first aid supplies	Sanitation	Clothing	Documents	0.000000
24	Human	25	Female	Urban	1	0	Food	No medication	tools	First aid supplies	No sanitation	NA	NA	0.000000
25	Human	25	Female	Rural	2	8	No food	Medication	No tools	First aid supplies	Sanitation	Clothing	Documents	4.000000
26	Human	25	Male	Rural	3	40	No food	No medication	No tools	First aid supplies	No sanitation	NA	NA	13.333333
27	Human	26	Female	Rural	3	40	Food	Medication	tools	No first aid supplies	No sanitation	Clothing	NA	13.333333
28	Human	26	Female	Rural	2	8	No food	Medication	tools	No first aid supplies	No sanitation	Clothing	NA	4.000000
